"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тестируем по очереди все 8 вопросов аккордеона. Проверяем, что при клике на стрелочку открывается правильный текст ответа, соответствующий требованиям.","737","Проверка выпадающего списка в разделе 'Вопросы о важном'","tests","2026-06-16","passed","2026-06-16","","test_accordion","",""
"Проверяем полный цикл заказа для двух разных пользователей станциями метро, сроками аренды и цветами самоката.","2698","Сквозной процесс оформления заказа самоката","tests","2026-06-16","passed","2026-06-16","","test_order","",""
"Проверяем, что клик по нижней кнопке 'Заказать' со скроллом успешно открывает стартовую форму оформления заказа.","675","Проверка перехода по нижней кнопке 'Заказать'","tests","2026-06-16","passed","2026-06-16","","test_order","",""
"Тестируем по очереди все 8 вопросов аккордеона. Проверяем, что при клике на стрелочку открывается правильный текст ответа, соответствующий требованиям.","643","Проверка выпадающего списка в разделе 'Вопросы о важном'","tests","2026-06-16","passed","2026-06-16","","test_accordion","",""
"Тестируем по очереди все 8 вопросов аккордеона. Проверяем, что при клике на стрелочку открывается правильный текст ответа, соответствующий требованиям.","647","Проверка выпадающего списка в разделе 'Вопросы о важном'","tests","2026-06-16","passed","2026-06-16","","test_accordion","",""
"Тестируем по очереди все 8 вопросов аккордеона. Проверяем, что при клике на стрелочку открывается правильный текст ответа, соответствующий требованиям.","608","Проверка выпадающего списка в разделе 'Вопросы о важном'","tests","2026-06-16","passed","2026-06-16","","test_accordion","",""
"Тестируем по очереди все 8 вопросов аккордеона. Проверяем, что при клике на стрелочку открывается правильный текст ответа, соответствующий требованиям.","782","Проверка выпадающего списка в разделе 'Вопросы о важном'","tests","2026-06-16","passed","2026-06-16","","test_accordion","",""
"Проверяем, что при клике на логотип 'Самокат' из формы заказа происходит успешный возврат на главную страницу сайта.","437","Проверка логотипа 'Самокат'","tests","2026-06-16","passed","2026-06-16","","test_logos","",""
"Тестируем по очереди все 8 вопросов аккордеона. Проверяем, что при клике на стрелочку открывается правильный текст ответа, соответствующий требованиям.","633","Проверка выпадающего списка в разделе 'Вопросы о важном'","tests","2026-06-16","passed","2026-06-16","","test_accordion","",""
"Тестируем по очереди все 8 вопросов аккордеона. Проверяем, что при клике на стрелочку открывается правильный текст ответа, соответствующий требованиям.","608","Проверка выпадающего списка в разделе 'Вопросы о важном'","tests","2026-06-16","passed","2026-06-16","","test_accordion","",""
"Проверяем полный цикл заказа для двух разных пользователей станциями метро, сроками аренды и цветами самоката.","2390","Сквозной процесс оформления заказа самоката","tests","2026-06-16","passed","2026-06-16","","test_order","",""
"Проверяем, что при клике на логотип 'Яндекс' в новой вкладке открывается главная страница Дзена.","1184","Проверка логотипа 'Яндекс'","tests","2026-06-16","passed","2026-06-16","","test_logos","",""
"Тестируем по очереди все 8 вопросов аккордеона. Проверяем, что при клике на стрелочку открывается правильный текст ответа, соответствующий требованиям.","814","Проверка выпадающего списка в разделе 'Вопросы о важном'","tests","2026-06-16","passed","2026-06-16","","test_accordion","",""
