"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тестируем по очереди все 8 вопросов аккордеона. Проверяем, что при клике на стрелочку открывается правильный текст ответа, соответствующий требованиям.","644","Проверка выпадающего списка в разделе 'Вопросы о важном'","tests","2026-06-17","passed","2026-06-17","","test_accordion","",""
"Проверяем полный цикл заказа для двух разных пользователей станциями метро, сроками аренды и цветами самоката.","2410","Сквозной процесс оформления заказа самоката","tests","2026-06-17","passed","2026-06-17","","test_order","",""
"Тестируем по очереди все 8 вопросов аккордеона. Проверяем, что при клике на стрелочку открывается правильный текст ответа, соответствующий требованиям.","630","Проверка выпадающего списка в разделе 'Вопросы о важном'","tests","2026-06-17","passed","2026-06-17","","test_accordion","",""
"Тестируем по очереди все 8 вопросов аккордеона. Проверяем, что при клике на стрелочку открывается правильный текст ответа, соответствующий требованиям.","648","Проверка выпадающего списка в разделе 'Вопросы о важном'","tests","2026-06-17","passed","2026-06-17","","test_accordion","",""
"Проверяем, что при клике на логотип 'Самокат' из формы заказа происходит успешный возврат на главную страницу сайта.","574","Проверка логотипа 'Самокат'","tests","2026-06-17","passed","2026-06-17","","test_logos","",""
"Тестируем по очереди все 8 вопросов аккордеона. Проверяем, что при клике на стрелочку открывается правильный текст ответа, соответствующий требованиям.","613","Проверка выпадающего списка в разделе 'Вопросы о важном'","tests","2026-06-17","passed","2026-06-17","","test_accordion","",""
"Тестируем по очереди все 8 вопросов аккордеона. Проверяем, что при клике на стрелочку открывается правильный текст ответа, соответствующий требованиям.","616","Проверка выпадающего списка в разделе 'Вопросы о важном'","tests","2026-06-17","passed","2026-06-17","","test_accordion","",""
"Проверяем, что при клике на логотип 'Яндекс' в новой вкладке открывается главная страница Дзена.","1052","Проверка логотипа 'Яндекс'","tests","2026-06-17","passed","2026-06-17","","test_logos","",""
"Тестируем по очереди все 8 вопросов аккордеона. Проверяем, что при клике на стрелочку открывается правильный текст ответа, соответствующий требованиям.","635","Проверка выпадающего списка в разделе 'Вопросы о важном'","tests","2026-06-17","passed","2026-06-17","","test_accordion","",""
"Тестируем по очереди все 8 вопросов аккордеона. Проверяем, что при клике на стрелочку открывается правильный текст ответа, соответствующий требованиям.","644","Проверка выпадающего списка в разделе 'Вопросы о важном'","tests","2026-06-17","passed","2026-06-17","","test_accordion","",""
"Проверяем, что клик по нижней кнопке 'Заказать' со скроллом успешно открывает стартовую форму оформления заказа.","623","Проверка перехода по нижней кнопке 'Заказать'","tests","2026-06-17","passed","2026-06-17","","test_order","",""
"Проверяем полный цикл заказа для двух разных пользователей станциями метро, сроками аренды и цветами самоката.","2403","Сквозной процесс оформления заказа самоката","tests","2026-06-17","passed","2026-06-17","","test_order","",""
"Тестируем по очереди все 8 вопросов аккордеона. Проверяем, что при клике на стрелочку открывается правильный текст ответа, соответствующий требованиям.","619","Проверка выпадающего списка в разделе 'Вопросы о важном'","tests","2026-06-17","passed","2026-06-17","","test_accordion","",""
